China	1439323776	9388211	N	AS
India	1380004385	2973190	N	AS
United States	331002651	9147420	N	NA
Indonesia	273523615	1811570	B	AS
Pakistan	220892340	770880	N	AS
Brazil	212559417	8358140	B	SA
Nigeria	206139589	910770	N	AF
Bangladesh	164689383	130170	N	AS
Russia	145934462	16376870	N	AS
Mexico	128932753	1943950	N	NA
Japan	126476461	364555	N	AS
Ethiopia	114963588	1000000	N	AF
Philippines	109581078	298170	B	AS
Egypt	102334404	995450	N	AF
Vietnam	97338579	310070	N	AF
Turkey	84339067	769630	N	EU
Iran	83992949	1628550	N	AS
Germany	83783942	348560	N	EU
Thailand	69799978	510890	N	AS
United Kingdom	67886011	241930	N	EU
France	65273511	547557	N	EU
Italy	60461826	294140	N	EU
South Africa	59308690	1213090	S	AF
Kenya	53771296	569140	B	AF
South Korea	51269185	97230	N	AS
Colombia	50882891	1109500	B	SA
Spain	46754778	498800	N	EU
Uganda	45741007	199810	B	AF
Argentina	45195774	2736690	S	SA
Algeria	43851044	2381740	N	AF
Sudan	43849260	1765048	N	AF
Ukraine	43733762	579320	N	EU
Iraq	40222493	434320	N	AS
Afghanistan	38928346	652860	N	AS
Poland	37846611	306230	N	EU
Canada	37742154	9093510	N	NA
Morocco	36910560	446300	N	AF
Saudi Arabia	34813871	2149690	N	AS
Uzbekistan	33469203	425400	N	AS
Peru	32971854	1280000	S	SA
Ghana	31072940	227540	N	AF
Venezuela	28435940	882050	N	SA
Madagascar	27691018	581795	S	AF
Cameroon	26545863	472710	N	AF
North Korea	25778816	120410	N	AS
Australia	25499884	7682300	S	OC
Niger	24206644	1266700	N	AF
Taiwan	23816775	35410	N	AS
Chile	19116201	743532	S	SA
Kazakhstan	18776707	2699700	N	AS
Zambia	18383955	743390	S	AF
Guatemala	17915568	107160	N	NA
Ecuador	17643054	248360	N	SA
Syria	17500658	183630	N	AS
Netherlands	17134872	33720	N	EU
Senegal	16743927	192530	N	AF
Cambodia	16718965	176520	N	AS
Chad	16425864	1259200	N	AF
Somalia	15893222	627340	B	AF
Zimbabwe	14862924	386850	S	AF
Guinea	13132795	245720	N	AF
Rwanda	12952218	24670	S	AF
Tunisia	11818619	155360	N	AF
Bolivia	11673021	1083300	S	SA
Belgium	11589623	30280	N	EU
Haiti	11402528	27560	N	NA
Cuba	11326616	106440	N	NA
Dominican Republic	10847910	48320	N	NA
Czech Republic	10708981	77240	N	EU
Greece	10423054	128900	N	EU
Jordan	10203134	88780	N	AS
Portugal	10196709	91590	N	EU
Sweden	10099265	410340	N	EU
Honduras	9904607	111890	N	NA
United Arab Emirates	9890402	83600	N	AS
Hungary	9660351	90530	N	EU
Austria	9006398	82409	N	EU
Serbia	8737371	87460	N	EU
Israel	8655535	21640	N	AS
Switzerland	8654622	39516	N	EU
Paraguay	7132538	397300	S	SA
Bulgaria	6948445	108560	N	EU
Libya	6871292	1759540	N	AF
Nicaragua	6624554	120340	N	NA
Kyrgyzstan	6524195	191800	N	AS
El Salvador	6486205	20720	N	NA
Turkmenistan	6031200	469930	N	AS
Singapore	5850342	700	N	AS
Denmark	5792202	42430	N	EU
Finland	5540720	303890	N	EU
Congo	5518087	341500	B	AF
Slovakia	5459642	48088	N	EU
Norway	5421241	365268	N	EU
Costa Rica	5094118	51060	N	NA
Ireland	4937786	68890	N	EU
New Zealand	4822233	263310	S	OC
Panama	4314767	74340	N	NA
Croatia	4105267	55960	N	EU
Puerto Rico	2860853	8870	N	NA
Lithuania	2722289	62674	N	EU
